class,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,spectral_centroid,zero_crossing_rate,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
Black-collared Hawk,-639.3863667,23.96154518,-23.32706817,-0.260120427,6.3369989,1.00474161,-3.653345533,0.047258717,5.081055755,3.078824867,-0.942587875,0.05903235,1.940273619,4883.500776,0.209349534,0.23992597,0.282013613,0.292870191,0.263169368,0.276620238,0.299682853,0.353980298,0.34928448,0.277430882,0.238579715,0.214296185,0.210596658
Black-faced Antbird,-614.74487,21.39468188,-15.0219104,-0.3945068,7.0221044,0.29333008,-6.13174842,2.5753418,4.4384206,-1.23364741,-5.79607108,1.226093948,3.07180242,4581.915384,0.169743138,0.269806272,0.266599548,0.246797112,0.235441633,0.262787851,0.290587938,0.314097358,0.297739084,0.285458246,0.250449732,0.23472005,0.237689736
Blue-and-yellow Macaw,-662.494715,26.19026025,-22.45952411,-9.698125163,-2.511066563,-3.266676604,4.140115787,-0.70709166,3.800819008,-1.995872534,0.088623575,3.521894818,-0.618800862,7543.099828,0.305401327,0.284480403,0.284113124,0.271730439,0.289971439,0.297382161,0.313186972,0.30254533,0.301841481,0.320199123,0.30216532,0.305850851,0.308228511
Chestnut-fronted Macaw,-624.2168178,22.42964203,-38.47916942,-9.012532389,-5.010854178,0.2371455,2.879909138,-1.381096767,0.607808792,-0.099223609,0.171509783,1.460656485,0.657427056,6375.848042,0.246432472,0.292256014,0.314290688,0.341661068,0.355700253,0.356694026,0.328700927,0.270843834,0.233949707,0.255587552,0.28659844,0.30754891,0.310188992
Harpy Eagle,-577.268662,-1.51388208,-15.3068376,12.59699961,2.5347489,2.288388628,-0.788758172,0.94550043,6.82424762,-1.751260866,-4.336706142,2.8137138,2.177160475,6248.660835,0.275448544,0.28926326,0.258307658,0.19853471,0.210870808,0.211088078,0.209346028,0.225767048,0.221537838,0.270594464,0.228101982,0.183000234,0.296671946
Pinto's Spinetail,-629.950885,7.985740233,-30.34101067,-1.83813127,7.470509433,4.826147007,-8.646912457,-0.622514747,4.727748283,2.557972533,-6.944229183,2.149199342,-2.205817067,7488.059886,0.324708522,0.281377172,0.231486445,0.260884817,0.31743058,0.306345287,0.269224573,0.262598145,0.277708512,0.265292327,0.24994907,0.26325557,0.291321962
Pygmy Nightjar,-615.73668,24.24112367,-15.1350775,-3.011101183,1.1672954,0.7186879,-1.926295862,0.076797567,-6.103592433,2.196956875,3.247327807,-0.617703808,2.23866325,4904.195116,0.23578578,0.30759563,0.273925537,0.236386633,0.242863498,0.272234697,0.291297955,0.259700538,0.249056064,0.276138604,0.305733395,0.296867415,0.315062768
Red-and-green Macaw,-644.029725,22.86463842,-22.86117633,-3.497444333,-2.159255417,-0.249207562,-2.092425433,1.069323665,0.20116,0.62476315,-0.331205627,0.478012075,1.057741718,6285.260276,0.255626002,0.272584322,0.282296047,0.303288935,0.3277954,0.340205362,0.342843288,0.339634147,0.30703165,0.312081963,0.337746192,0.341078407,0.291169022
Red-throated Caracara,-597.937726,22.64885286,-40.8329516,-15.40226618,-4.46316348,-1.1685633,0.93433844,0.265357338,-0.32692068,-1.739524396,2.41380246,-0.62560839,-4.09337196,6661.085701,0.251410351,0.248194954,0.234786008,0.232954044,0.230856526,0.285675732,0.269608562,0.216450804,0.208115358,0.265648354,0.334924844,0.33683565,0.281411944
Scarlet Macaw,-662.6059,27.430308,-27.31183067,-7.435560033,1.005491533,2.864611967,0.076123833,-0.390107733,-2.0599079,2.235786057,3.683853567,0.372402667,1.652980567,5371.574005,0.189151121,0.381820097,0.361221827,0.323303707,0.31071297,0.313482333,0.342318397,0.343556413,0.345466653,0.341272273,0.3347388,0.36009568,0.410700367
Toco Toucan,-701.53426,23.123481,-15.5918668,9.314869625,-1.06446905,5.5915234,2.280987975,3.243209725,-3.503707722,3.7353733,2.07371055,-2.77316735,5.17374795,5455.338642,0.228463374,0.327760763,0.331361383,0.31587465,0.33602496,0.39392214,0.353986085,0.29767295,0.297232048,0.283024271,0.253323182,0.262649118,0.29217793
Yellow-crowned Amazon,-647.74768,23.7580325,-36.9417125,-10.0655435,-4.930869225,-2.432003,0.645146975,1.244709125,-0.7988937,-3.06946076,-0.138082588,0.11515035,-0.346954338,5058.58895,0.192622593,0.260842575,0.25280971,0.243235325,0.249100918,0.277957198,0.319659973,0.309771025,0.243180958,0.259804893,0.234048615,0.228388045,0.238989065
