class,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,spectral_centroid,zero_crossing_rate,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
XC127160 - Pygmy Nightjar - Nyctipolus hirundinaceus.mp3,-679.64014,7.906973,-17.372066,-5.3500047,11.516811,6.808247,-3.0714068,-2.603789,3.1774983,3.5046973,-1.5082793,-1.710908,2.5262582,6012.89983,0.257580403,0.29447472,0.2511047,0.23024434,0.28352532,0.39991704,0.42156625,0.32827127,0.2520429,0.25112456,0.24949539,0.26611257,0.29319882
XC206347 - Pygmy Nightjar - Nyctipolus hirundinaceus.mp3,-485.7896,13.04548,8.3088,7.689692,-12.793928,-6.274381,6.8561425,7.934633,-8.115664,8.55649,3.7035897,-4.3737817,17.610914,4097.948995,0.337791806,0.21578307,0.2357049,0.25416625,0.2040817,0.21421258,0.3425664,0.2736469,0.26057816,0.3009213,0.4893916,0.3630496,0.21485251
XC219848 - Black-collared Hawk - Busarellus nigricollis.mp3,-612.26495,38.062943,-48.44537,-13.723377,-7.074552,-2.3232887,-1.0845042,0.711912,9.7699375,8.501794,-2.22968,-3.7702365,1.2187738,3194.241229,0.130304289,0.25986475,0.31267828,0.31524736,0.22920991,0.22364978,0.24254332,0.27317807,0.25624081,0.225447,0.20241511,0.22224844,0.21850403
XC223872 - Harpy Eagle - Harpia harpyja.mp3,-583.41315,-1.5982957,-15.179178,14.726896,3.6432958,1.1038256,-2.366005,-0.12676719,7.6294837,0.41820437,-7.7160664,4.495099,4.6333566,6494.379974,0.274185651,0.244157,0.14969097,0.16067208,0.24862716,0.27284825,0.21200846,0.20619945,0.23564947,0.34681466,0.3180031,0.2042752,0.22491081
XC24089 - Pygmy Nightjar - Nyctipolus hirundinaceus.mp3,-789.56396,30.79003,-19.05052,6.6528296,12.10495,-11.680574,-3.5030015,9.292123,3.3259516,0.949532,0.52816534,0.36174875,3.6322656,5225.774224,0.222757099,0.23660366,0.25153333,0.29862788,0.3493646,0.29467723,0.352244,0.3842082,0.36749306,0.4051933,0.37618998,0.3266746,0.292829
XC260388 - Chestnut-fronted Macaw - Ara severus.mp3,-544.3673,32.719234,-37.123375,-5.791215,-13.047623,-2.0573971,8.935394,-5.26064,2.7874258,5.441764,4.5648985,8.505782,4.038393,4755.653657,0.201726268,0.21275492,0.19500437,0.22634436,0.23653887,0.258954,0.39391306,0.22052571,0.17681429,0.1622674,0.22202235,0.33975482,0.3031984
XC264371 - Black-collared Hawk - Busarellus nigricollis nigricollis.mp3,-627.63446,47.428406,-19.589561,5.650021,10.838509,-6.2991686,-2.7639434,-3.043103,0.25814003,3.3213887,-4.3339114,-1.303592,0.82997686,3192.654248,0.140681915,0.227644,0.2861339,0.32722697,0.29519498,0.29586452,0.40249997,0.38198438,0.38340434,0.36250997,0.23091471,0.2234362,0.22670986
XC272295 - Chestnut-fronted Macaw - Ara severus.mp3,-632.3819,18.137363,-37.588142,-5.5860133,-3.8041873,-3.0029714,-2.0451474,-6.374662,-5.363569,-3.4255006,0.017236773,-2.5803406,-1.761239,6467.995293,0.275451947,0.3549356,0.2781518,0.21484022,0.20578952,0.21836808,0.23456484,0.2165756,0.21999498,0.37081203,0.45747334,0.49172956,0.437391
XC295503 - Blue-and-yellow Macaw - Ara ararauna.mp3,-616.8342,42.91625,-20.288618,-41.892124,3.1739545,-6.313324,5.2871675,1.8478746,5.249737,-3.87121,1.2788576,3.710202,1.0851806,9740.284245,0.339768968,0.3335065,0.36199585,0.42586204,0.4765417,0.48207265,0.40520474,0.27477005,0.23538226,0.26320794,0.26958764,0.25278547,0.30012834
XC316473 - Harpy Eagle - Harpia harpyja.mp3,-553.8264,-6.384581,-23.80222,18.765102,7.919768,-2.4182906,-4.5897937,0.29895744,6.4849224,-1.7210486,-0.18676427,-1.1102731,-1.8257608,6514.819044,0.295893287,0.3676629,0.3692829,0.27058375,0.26065353,0.207572,0.18889731,0.17141896,0.2143308,0.19316548,0.13578653,0.1468484,0.34411058
